0,1,2,3,4,5,6,7,8,9,10,11,12,explained_variance
0.3212956300862033,0.16796803103152877,,,,,,,,,,,,0.4892636611177321
0.32129563008620315,0.16796803103152838,0.13914323801817782,,,,,,,,,,,0.6284068991359094
0.32129563008620343,0.1679680310315293,0.13914323801817813,0.06725129387949304,,,,,,,,,,0.6956581930154039
0.3212956300862033,0.1679680310315286,0.139143238018178,0.06725129387949308,0.047525945139794405,,,,,,,,,0.7431841381551973
0.32129563008620365,0.16796803103152894,0.13914323801817835,0.06725129387949325,0.047525945139794384,0.03766881377231498,,,,,,,,0.7808529519275136
0.3212956300862033,0.16796803103152824,0.13914323801817782,0.06725129387949301,0.047525945139794475,0.0376688137723214,0.034063796059900786,,,,,,,0.8149167479874191
0.3212956300862039,0.1679680310315293,0.13914323801817782,0.06725129387949304,0.04752594513979462,0.03766881377232825,0.03406379605990264,0.028091088660100457,,,,,,0.84300783664753
0.32129563008620304,0.16796803103152846,0.13914323801817732,0.067251293879493,0.047525945139794724,0.037668813772328044,0.03406379605990269,0.028091088660171487,0.020629028844697837,,,,,0.8636368654922966
0.3212956300862037,0.16796803103152871,0.13914323801817774,0.0672512938794931,0.047525945139794655,0.03766881377232837,0.03406379605990264,0.0280910886601726,0.020629028844773117,0.013977637590675147,,,,0.8776145030830499
0.3212956300862034,0.16796803103152858,0.13914323801817774,0.06725129387949319,0.04752594513979459,0.037668813772328204,0.03406379605990266,0.02809108866017333,0.020629028844777467,0.01397763759204666,0.011907856510568426,,,0.8895223595949943
0.3212956300862036,0.16796803103152905,0.1391432380181779,0.06725129387949293,0.0475259451397947,0.03766881377232823,0.03406379605990266,0.02809108866017317,0.020629028844774355,0.013977637591513034,0.011907856468399555,0.010228780596333953,,0.8997511401486232
0.32129563008620377,0.1679680310315286,0.13914323801817774,0.06725129387949305,0.04752594513979462,0.03766881377232829,0.03406379605990276,0.02809108866017341,0.02062902884477742,0.013977637592361071,0.01190785651086174,0.010228780670604082,0.007551978402561363,0.9073031186687679
