,rmse_test_KernelRidge'>_idw_{'omega': 0.0}_0,rmse_val_KernelRidge'>_idw_{'omega': 0.0}_0,sample_sel_KernelRidge'>_idw_{'omega': 0.0}_0,rmse_full_KernelRidge'>_idw_{'omega': 0.0}_0,rmse_test_KernelRidge'>_idw_{'omega': 0.5}_0,rmse_val_KernelRidge'>_idw_{'omega': 0.5}_0,sample_sel_KernelRidge'>_idw_{'omega': 0.5}_0,rmse_full_KernelRidge'>_idw_{'omega': 0.5}_0,rmse_test_KernelRidge'>_idw_{'omega': 0.1}_0,rmse_val_KernelRidge'>_idw_{'omega': 0.1}_0,sample_sel_KernelRidge'>_idw_{'omega': 0.1}_0,rmse_full_KernelRidge'>_idw_{'omega': 0.1}_0,"rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_0","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_0","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_0","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_0","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_0","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_0","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_0","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_0","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_0","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_0","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_0","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_0","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_0","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_0","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_0","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_0",rmse_test_KernelRidge'>_idw_{'omega': 0.0}_1,rmse_val_KernelRidge'>_idw_{'omega': 0.0}_1,sample_sel_KernelRidge'>_idw_{'omega': 0.0}_1,rmse_full_KernelRidge'>_idw_{'omega': 0.0}_1,rmse_test_KernelRidge'>_idw_{'omega': 0.5}_1,rmse_val_KernelRidge'>_idw_{'omega': 0.5}_1,sample_sel_KernelRidge'>_idw_{'omega': 0.5}_1,rmse_full_KernelRidge'>_idw_{'omega': 0.5}_1,rmse_test_KernelRidge'>_idw_{'omega': 0.1}_1,rmse_val_KernelRidge'>_idw_{'omega': 0.1}_1,sample_sel_KernelRidge'>_idw_{'omega': 0.1}_1,rmse_full_KernelRidge'>_idw_{'omega': 0.1}_1,"rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_1","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_1","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_1","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.5}_1","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_1","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_1","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_1","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.1}_1","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_1","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_1","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_1","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.01}_1","rmse_test_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_1","rmse_val_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_1","sample_sel_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_1","rmse_full_KernelRidge'>_idw_{'omega': 0.5, 'delta': 0.8}_1"
0,218.9781724856891,278.25194208721666,46.0,85.95159560857674,218.9781724856891,278.25194208721666,46.0,85.95159560857674,218.9781724856891,278.25194208721666,46.0,85.95159560857674,218.9781724856891,278.25194208721666,46.0,85.95159560857674,218.9781724856891,278.25194208721666,46.0,85.95159560857674,218.9781724856891,278.25194208721666,46.0,85.95159560857674,218.9781724856891,278.25194208721666,46.0,85.95159560857674,240.30914566225283,243.09374704558604,901.0,89.93973921268605,240.30914566225283,243.09374704558604,901.0,89.93973921268605,240.30914566225283,243.09374704558604,901.0,89.93973921268605,240.30914566225283,243.09374704558604,901.0,89.93973921268605,240.30914566225283,243.09374704558604,901.0,89.93973921268605,240.30914566225283,243.09374704558604,901.0,89.93973921268605,240.30914566225283,243.09374704558604,901.0,89.93973921268605
1,222.15125496035355,284.34194788817183,1146.0,85.95159560857674,222.15125496035355,284.34194788817183,1146.0,85.95159560857674,222.15125496035355,284.34194788817183,1146.0,85.95159560857674,222.15125496035355,284.34194788817183,1146.0,85.95159560857674,222.15125496035355,284.34194788817183,1146.0,85.95159560857674,222.15125496035355,284.34194788817183,1146.0,85.95159560857674,222.15125496035355,284.34194788817183,1146.0,85.95159560857674,245.38691999993586,255.35129706962974,812.0,89.93973921268605,245.38691999993586,255.35129706962974,812.0,89.93973921268605,245.38691999993586,255.35129706962974,812.0,89.93973921268605,245.38691999993586,255.35129706962974,812.0,89.93973921268605,245.38691999993586,255.35129706962974,812.0,89.93973921268605,245.38691999993586,255.35129706962974,812.0,89.93973921268605,245.38691999993586,255.35129706962974,812.0,89.93973921268605
2,212.86887564328688,283.67768104007985,1145.0,85.95159560857674,212.86887564328688,283.67768104007985,1145.0,85.95159560857674,212.86887564328688,283.67768104007985,1145.0,85.95159560857674,212.86887564328688,283.67768104007985,1145.0,85.95159560857674,212.86887564328688,283.67768104007985,1145.0,85.95159560857674,212.86887564328688,283.67768104007985,1145.0,85.95159560857674,212.86887564328688,283.67768104007985,1145.0,85.95159560857674,246.4160248800532,257.0000682901749,34.0,89.93973921268605,246.4160248800532,257.0000682901749,34.0,89.93973921268605,246.4160248800532,257.0000682901749,34.0,89.93973921268605,246.4160248800532,257.0000682901749,34.0,89.93973921268605,246.4160248800532,257.0000682901749,34.0,89.93973921268605,246.4160248800532,257.0000682901749,34.0,89.93973921268605,246.4160248800532,257.0000682901749,34.0,89.93973921268605
3,212.08081651931434,284.46099210997636,1091.0,85.95159560857674,212.08081651931434,284.46099210997636,1091.0,85.95159560857674,212.08081651931434,284.46099210997636,1091.0,85.95159560857674,212.08081651931434,284.46099210997636,1091.0,85.95159560857674,212.08081651931434,284.46099210997636,1091.0,85.95159560857674,212.08081651931434,284.46099210997636,1091.0,85.95159560857674,212.08081651931434,284.46099210997636,1091.0,85.95159560857674,212.4474313610068,207.66282771588524,41.0,89.93973921268605,212.4474313610068,207.66282771588524,41.0,89.93973921268605,212.4474313610068,207.66282771588524,41.0,89.93973921268605,212.4474313610068,207.66282771588524,41.0,89.93973921268605,212.4474313610068,207.66282771588524,41.0,89.93973921268605,212.4474313610068,207.66282771588524,41.0,89.93973921268605,212.4474313610068,207.66282771588524,41.0,89.93973921268605
4,208.13089091068133,276.3205091535171,1199.0,85.95159560857674,208.13089091068133,276.3205091535171,1199.0,85.95159560857674,208.13089091068133,276.3205091535171,1199.0,85.95159560857674,208.13089091068133,276.3205091535171,1199.0,85.95159560857674,208.13089091068133,276.3205091535171,1199.0,85.95159560857674,208.13089091068133,276.3205091535171,1199.0,85.95159560857674,208.13089091068133,276.3205091535171,1199.0,85.95159560857674,203.72858534794005,206.18349204569864,14.0,89.93973921268605,203.72858534794005,206.18349204569864,14.0,89.93973921268605,203.72858534794005,206.18349204569864,14.0,89.93973921268605,203.72858534794005,206.18349204569864,14.0,89.93973921268605,203.72858534794005,206.18349204569864,14.0,89.93973921268605,203.72858534794005,206.18349204569864,14.0,89.93973921268605,203.72858534794005,206.18349204569864,14.0,89.93973921268605
5,215.3821029000667,284.4193909341274,1185.0,85.95159560857674,215.3821029000667,284.4193909341274,1185.0,85.95159560857674,215.3821029000667,284.4193909341274,1185.0,85.95159560857674,215.3821029000667,284.4193909341274,1185.0,85.95159560857674,215.3821029000667,284.4193909341274,1185.0,85.95159560857674,215.3821029000667,284.4193909341274,1185.0,85.95159560857674,215.3821029000667,284.4193909341274,1185.0,85.95159560857674,212.29122335255644,216.02848945295125,384.0,89.93973921268605,212.29122335255644,216.02848945295125,384.0,89.93973921268605,212.29122335255644,216.02848945295125,384.0,89.93973921268605,212.29122335255644,216.02848945295125,384.0,89.93973921268605,212.29122335255644,216.02848945295125,384.0,89.93973921268605,212.29122335255644,216.02848945295125,384.0,89.93973921268605,212.29122335255644,216.02848945295125,384.0,89.93973921268605
6,214.71839605742272,283.80619652019175,1191.0,85.95159560857674,214.71839605742272,283.80619652019175,1191.0,85.95159560857674,214.71839605742272,283.80619652019175,1191.0,85.95159560857674,214.71839605742272,283.80619652019175,1191.0,85.95159560857674,214.71839605742272,283.80619652019175,1191.0,85.95159560857674,214.71839605742272,283.80619652019175,1191.0,85.95159560857674,214.71839605742272,283.80619652019175,1191.0,85.95159560857674,234.42841973878387,238.81531252618086,409.0,89.93973921268605,234.42841973878387,238.81531252618086,409.0,89.93973921268605,234.42841973878387,238.81531252618086,409.0,89.93973921268605,234.42841973878387,238.81531252618086,409.0,89.93973921268605,234.42841973878387,238.81531252618086,409.0,89.93973921268605,234.42841973878387,238.81531252618086,409.0,89.93973921268605,234.42841973878387,238.81531252618086,409.0,89.93973921268605
7,215.670156323072,260.5135501333921,351.0,85.95159560857674,215.670156323072,260.5135501333921,351.0,85.95159560857674,215.670156323072,260.5135501333921,351.0,85.95159560857674,215.670156323072,260.5135501333921,351.0,85.95159560857674,215.670156323072,260.5135501333921,351.0,85.95159560857674,215.670156323072,260.5135501333921,351.0,85.95159560857674,215.670156323072,260.5135501333921,351.0,85.95159560857674,213.5602704759644,202.72821656501114,1002.0,89.93973921268605,213.5602704759644,202.72821656501114,1002.0,89.93973921268605,213.5602704759644,202.72821656501114,1002.0,89.93973921268605,213.5602704759644,202.72821656501114,1002.0,89.93973921268605,213.5602704759644,202.72821656501114,1002.0,89.93973921268605,213.5602704759644,202.72821656501114,1002.0,89.93973921268605,213.5602704759644,202.72821656501114,1002.0,89.93973921268605
8,238.47354921807053,269.19359741075147,751.0,85.95159560857674,238.47354921807053,269.19359741075147,751.0,85.95159560857674,238.47354921807053,269.19359741075147,751.0,85.95159560857674,238.47354921807053,269.19359741075147,751.0,85.95159560857674,238.47354921807053,269.19359741075147,751.0,85.95159560857674,238.47354921807053,269.19359741075147,751.0,85.95159560857674,238.47354921807053,269.19359741075147,751.0,85.95159560857674,161.94614527385215,155.58782501247416,786.0,89.93973921268605,161.94614527385215,155.58782501247416,786.0,89.93973921268605,161.94614527385215,155.58782501247416,786.0,89.93973921268605,161.94614527385215,155.58782501247416,786.0,89.93973921268605,161.94614527385215,155.58782501247416,786.0,89.93973921268605,161.94614527385215,155.58782501247416,786.0,89.93973921268605,161.94614527385215,155.58782501247416,786.0,89.93973921268605
9,218.71254140430563,260.20440693200857,483.0,85.95159560857674,218.71254140430563,260.20440693200857,483.0,85.95159560857674,218.71254140430563,260.20440693200857,483.0,85.95159560857674,218.71254140430563,260.20440693200857,483.0,85.95159560857674,218.71254140430563,260.20440693200857,483.0,85.95159560857674,218.71254140430563,260.20440693200857,483.0,85.95159560857674,218.71254140430563,260.20440693200857,483.0,85.95159560857674,168.61294953436456,157.44412105134032,752.0,89.93973921268605,168.61294953436456,157.44412105134032,752.0,89.93973921268605,168.61294953436456,157.44412105134032,752.0,89.93973921268605,168.61294953436456,157.44412105134032,752.0,89.93973921268605,168.61294953436456,157.44412105134032,752.0,89.93973921268605,168.61294953436456,157.44412105134032,752.0,89.93973921268605,168.61294953436456,157.44412105134032,752.0,89.93973921268605
