,HistGradientBoostingRegressor_train,HistGradientBoostingRegressor_test,HistGradientBoostingRegressor_val,KernelRidge_train,KernelRidge_test,KernelRidge_val,PLSRegression_train,PLSRegression_test,PLSRegression_val,RandomForestRegressor_train,RandomForestRegressor_test,RandomForestRegressor_val,XGBRegressor_train,XGBRegressor_test,XGBRegressor_val
2970,0.0005357353774613438,0.0009839880633460084,0.0012296165583399743,0.0015172666768227927,0.0015086401026530804,0.002517229793201692,0.0004815067275826479,0.0005058059612188415,0.0005771020597079901,0.0021390806038171007,0.00012972332706087108,-0.0006993935117129979,0.003120577335357666,-0.0004701077938079834,0.00038260817527771
2968,0.000389972693078966,0.0008471823026377056,0.001053316792752812,0.0012874188441828194,0.0010085437813995735,0.0032955000067894312,0.00016034152328456842,0.00028024791698548767,0.00028637951190787494,0.0008653038504790378,0.00013228986291603518,0.00034643126409187317,0.0005971610546112061,0.0005322575569152832,-0.0003668367862701416
2966,0.0003085068391873169,-0.00020417016071191396,0.0009034341761479991,0.0005983738479553247,-0.00031820779618635386,-0.0001065456968711187,4.6356841167938254e-07,-1.1042044773534876e-05,-1.1681720205836133e-05,0.0008435842997582931,-0.0004417310431681476,4.338972417988751e-05,0.0006891429424285888,0.0016659200191497803,0.0008812785148620605
2964,0.0003386560422444229,0.0002585138835862311,0.000985425350072966,0.0016410781929070196,-7.059677872696124e-05,2.284713103515301e-05,0.00015278075309002048,-3.0510588029364348e-05,-6.537422308849905e-05,0.00045732030224542307,-0.00010809527085502424,0.00033803316320270006,0.000270533561706543,0.00017813444137573242,-4.8947334289550784e-05
2962,0.00019052089908249136,-0.00037125504688400034,7.722569702695026e-06,0.0022257133269048103,-0.00016215004902863094,0.0009336497368466312,0.00022306951060708792,2.639675696822774e-05,-1.3219886024651295e-06,0.0008954478335682636,0.0006212374330381131,-8.99065197427662e-05,0.00044744610786437986,0.0010227084159851075,0.000176924467086792
2960,6.225497173457661e-05,0.00011302381537293682,8.464674063771716e-05,0.0048256514060174395,0.0016799151516795451,0.003897777659619939,9.053423167704189e-05,2.0396527811317177e-05,3.793080789123993e-05,0.0005284852515126781,0.00030019211365260866,0.0001784515872580772,0.0002310454845428467,-0.0005240499973297119,0.0002550363540649414
2959,3.829631213598805e-05,2.0031197636893872e-05,0.00017835546304979523,0.0015540819089256864,0.00014144190819859181,0.0021949827997297055,-8.757590537911141e-06,1.1301278138742265e-05,2.1064524893543713e-05,0.0005649163686461845,0.0001789498980408366,-0.0001878805561058572,0.000417560338973999,-0.0006204009056091309,0.00021952390670776367
2957,0.00036718638326308504,-0.00017453063685758386,-0.0005654826172283078,0.0013248735997853478,0.0005513360720954541,0.001869927240434044,-6.68494307893841e-06,9.558708252144221e-07,3.8408908675791054e-07,0.0005760331522386752,0.00016387771700233645,-0.0001741571628024019,0.00016131997108459473,0.0009275317192077637,-9.337663650512695e-05
2955,0.0011709026766973274,-0.0003921671101950186,0.0011670869996667887,0.0018828546677963852,0.0007938837159455869,0.0024466435325743107,1.5227833895392617e-05,1.4708021140452665e-06,4.248655423233494e-06,0.0005470690288865932,0.0004232661005237337,5.165477026467524e-05,0.0006241738796234131,0.00029938817024230955,0.001113724708557129
2953,0.00022266587087179656,0.00043525073508975386,0.0008623995003026574,0.0001644192063242844,-0.00033039674794277385,0.00014991102909501787,-8.850494718055657e-05,-3.931744250121882e-05,-5.0819566469961774e-05,0.0004715801718658486,0.0003493071899219657,0.0004132462441538309,0.0013896167278289796,-0.0001736283302307129,0.0025411367416381834
2951,5.0972695012496684e-05,2.959379987912403e-05,-0.00010059323637086059,0.0012128555064489955,0.0012391654799381313,-0.0010235462344292511,-0.0002996819365838399,-0.00029959812350008883,-0.000302432771980965,0.000263699648620408,0.0002070342251764723,0.00012184988463839196,0.00012935400009155272,9.143352508544922e-06,-3.0082464218139648e-05
2949,0.00013527200203538036,0.00014318002921125393,0.00024036158245710482,0.0008335232268270265,0.0011309163976575443,-0.0009661973248901057,-0.0003873017729063566,-0.0005968944131530152,-0.0006607744576051955,0.0004221683741493898,0.0008933167603937364,3.665781075185004e-05,0.0005062222480773926,0.0005454540252685547,0.0005683302879333496
2947,0.0010634192489937465,0.0007060788643600491,0.00014130740281624864,0.000503712450710947,0.0005357319703418794,7.308248348054658e-05,-0.00029015666981907495,-0.0005835205909217711,-0.0009255533128013748,0.001960223840776598,0.0005510505593527726,0.0016479897964009282,0.0007956326007843018,0.0007371187210083007,0.0007782161235809326
2945,0.0008752706582357383,0.002905702832886936,-0.0003408853629414899,0.0075052336966243026,0.009342638579827733,0.006445493226237031,-0.0001694482732477076,-0.00043585439628984757,-0.0009956039090091573,0.002365300399931769,0.0005030566586649243,-0.00030875409232280495,0.001361536979675293,0.005093389749526977,0.0008235394954681397
2943,0.00023634243463637182,0.0014789243360765591,0.0005271069660335636,0.0011497993784179371,0.001154789826801439,0.001546208603307564,-0.00011383390971230201,-0.0002071556770452676,-0.0006133754174780682,0.0013762625460979506,0.0005689916285304241,0.0010442113801726438,0.0003050684928894043,-0.0006211340427398681,0.0013340294361114502
2941,3.464762835003743e-05,-0.00013852659800865917,3.664889010468464e-06,0.020231860694274083,0.01582275648189383,0.022572083762074667,0.00010931601808514824,0.00010830364332085063,0.00039469604438506777,0.00012191123509158741,-0.00021233723881639577,0.00014220981855102012,0.0005689740180969238,0.00039986371994018557,0.0008363008499145507
2939,7.487870457036915e-05,0.00028265236970870244,0.00016724948619910583,0.006638072246835103,0.0033235745331341993,0.006884199983411121,0.0005978712685145049,0.0004230795784805674,0.0017120256077983842,0.0007454424404959581,9.275510347279692e-05,0.0008948980613124657,0.00034334659576416013,-1.2713670730590821e-05,0.0013247251510620118
2937,5.9516920981284024e-05,0.00027583266194329824,0.00028365906742668925,0.0018726514362048974,0.003832240961645439,0.0017274774939273763,0.0011005110101401927,0.0006954936756124686,0.0026930130825311926,0.00032524229078056965,0.0006312742412012406,0.0005163096312541749,0.0003909170627593994,0.00018455982208251954,0.0012257039546966554
2935,0.0003339024462894469,8.724728996870602e-05,0.0008955258645121367,0.0008293237168203627,0.0016784091070788931,0.00037255691876386665,0.0013232396873479435,0.0008544805050057613,0.0025812599483422184,0.0002032626789222669,-0.00015067135776206664,0.00020763882074921193,0.0007023453712463379,-0.0010590434074401855,0.0005994737148284912
2933,0.0001558854408111099,0.00047958905127147843,0.0005075996323707255,0.0005271071235841363,0.0003663127292702462,-0.0005464223098462506,0.0009797124795729363,0.000774193553179503,0.0011335248999700064,0.001653934199284579,0.0007326431673214673,0.0015523660842757137,0.00044829845428466796,-0.000701284408569336,0.0006930291652679444
2932,8.074135738679322e-05,-0.0003351455079836474,0.0003477745843087354,0.0020025335693708126,0.0018595047941169617,0.00042613890125761114,0.00027704744270022895,0.00039095419189471013,-0.0004325288888470835,0.0010243736384963787,0.0004126198365350664,-0.0005667992272493039,0.00011734962463378906,0.00013434886932373047,-0.00024970769882202146
