,0
1232,0.032573237010622716
1697,0.01635387513121632
816,0.012633713084302192
814,0.012610974280253467
1230,0.01239582108167644
1745,0.01035330313601477
1744,0.009380402121904842
1248,0.009293765143234073
1630,0.00919710781495762
1072,0.008456782655686904
1651,0.007965914810434101
1761,0.007628443085556045
1234,0.007477289252195052
2918,0.007183597360065079
1728,0.007042676798102501
1695,0.006612040324744092
1250,0.006449994526142237
812,0.00642118319171515
1175,0.006407865216141161
1632,0.006335087646411608
1618,0.0063015615752134765
1759,0.0062862876163703955
1105,0.006093159019489203
1740,0.005890327312550558
1738,0.005852045205128889
